poll_choice_id,lang_taken,created_at,updated_at,user_id,poll_id
927,en,2018-08-03 06:32:54,2018-08-03 06:32:54,21667900,261
1001,en,2019-02-01 12:35:57,2019-02-01 12:35:57,21667900,283
1104,en,2018-08-03 16:09:45,2018-08-03 16:09:45,21667900,309
1174,en,2018-08-04 04:42:28,2018-08-04 04:42:28,21667900,328
1237,en,2018-08-04 05:35:22,2018-08-04 05:35:22,21667900,345
1295,en,2018-08-04 06:58:31,2018-08-04 06:58:31,21667900,360
1374,en,2019-06-01 03:18:58,2019-06-01 03:18:58,21667900,380
1385,en,2018-08-04 16:13:40,2018-08-04 16:13:40,21667900,384
1391,en,2019-06-01 04:07:29,2019-06-01 04:07:29,21667900,385
1397,en,2019-06-01 04:48:36,2019-06-01 04:48:36,21667900,387
1499,en,2018-08-08 13:09:56,2018-08-08 13:09:56,21667900,412
1556,en,2018-08-09 08:07:36,2018-08-09 08:07:36,21667900,430
1821,en,2018-07-25 07:33:35,2018-07-25 07:33:35,21667900,498
1880,en,2019-06-01 05:55:43,2019-06-01 05:55:43,21667900,512
1918,en,2021-04-02 05:18:20,2021-04-02 05:18:20,21667900,522
1927,en,2018-07-25 09:36:12,2018-07-25 09:36:12,21667900,524
1975,en,2021-04-03 02:54:26,2021-04-03 02:54:26,21667900,536
1999,en,2018-07-25 10:48:11,2018-07-25 10:48:11,21667900,543
2216,en,2019-06-01 08:26:37,2019-06-01 08:26:37,21667900,597
2233,en,2018-07-26 15:59:24,2018-07-26 15:59:24,21667900,602
2303,en,2019-06-03 09:38:29,2019-06-03 09:38:29,21667900,621
2424,en,2019-06-04 04:48:31,2019-06-04 04:48:31,21667900,651
2540,en,2020-03-19 10:35:39,2020-03-19 10:35:39,21667900,683
2560,en,2019-06-04 05:31:14,2019-06-04 05:31:14,21667900,688
2667,en,2018-07-26 16:45:05,2018-07-26 16:45:05,21667900,715
3196,en,2019-06-02 08:44:21,2019-06-02 08:44:21,21667900,851
3244,en,2018-06-26 14:41:08,2018-06-26 14:41:08,21667900,863
3266,en,2018-06-26 14:40:39,2018-06-26 14:40:39,21667900,870
3290,en,2018-07-06 10:57:13,2018-07-06 10:57:13,21667900,876
3345,en,2021-11-03 05:04:18,2021-11-03 05:04:18,21667900,890
3366,en,2018-07-11 11:24:35,2018-07-11 11:24:35,21667900,895
3388,en,2018-07-13 13:20:41,2018-07-13 13:20:41,21667900,900
3397,en,2021-11-03 07:38:49,2021-11-03 07:38:49,21667900,903
3402,en,2018-07-17 16:14:49,2018-07-17 16:14:49,21667900,904
3456,en,2018-07-25 05:04:31,2018-07-25 05:04:31,21667900,919
3482,en,2018-07-31 08:38:46,2018-07-31 08:38:46,21667900,927
3514,en,2018-09-28 16:21:00,2018-09-28 16:21:00,21667900,935
3536,en,2018-08-06 05:20:36,2018-08-06 05:20:36,21667900,940
3561,en,2021-11-04 14:04:22,2021-11-04 14:04:22,21667900,947
3578,en,2018-09-29 04:18:33,2018-09-29 04:18:33,21667900,951
3585,en,2018-08-14 12:53:30,2018-08-14 12:53:30,21667900,953
3634,en,2018-09-29 05:04:03,2018-09-29 05:04:03,21667900,965
3652,en,2019-01-03 12:02:04,2019-01-03 12:02:04,21667900,969
3664,en,2018-09-29 07:17:15,2018-09-29 07:17:15,21667900,972
3672,en,2018-09-29 13:59:59,2018-09-29 13:59:59,21667900,974
3676,en,2020-04-09 13:44:30,2020-04-09 13:44:30,21667900,975
3682,en,2020-04-11 09:18:51,2020-04-11 09:18:51,21667900,977
3687,en,2020-04-14 10:09:37,2020-04-14 10:09:37,21667900,978
3701,en,2018-09-30 04:30:38,2018-09-30 04:30:38,21667900,982
3711,en,2020-04-15 16:22:12,2020-04-15 16:22:12,21667900,984
3714,en,2020-04-19 17:25:41,2020-04-19 17:25:41,21667900,985
3719,en,2018-11-11 10:37:34,2018-11-11 10:37:34,21667900,986
3779,en,2019-07-24 11:00:05,2019-07-24 11:00:05,21667900,1003
3782,en,2018-09-30 10:07:44,2018-09-30 10:07:44,21667900,1004
3793,en,2019-07-25 11:35:22,2019-07-25 11:35:22,21667900,1007
3799,en,2019-07-25 11:36:24,2019-07-25 11:36:24,21667900,1008
3803,en,2019-07-25 16:29:18,2019-07-25 16:29:18,21667900,1009
3806,en,2019-07-26 14:11:24,2019-07-26 14:11:24,21667900,1010
3810,en,2019-07-26 16:28:21,2019-07-26 16:28:21,21667900,1011
3815,en,2019-07-27 05:15:53,2019-07-27 05:15:53,21667900,1012
3817,en,2019-07-27 08:17:51,2019-07-27 08:17:51,21667900,1013
3822,en,2019-07-27 09:27:23,2019-07-27 09:27:23,21667900,1014
3826,en,2019-07-27 11:35:11,2019-07-27 11:35:11,21667900,1015
3846,en,2020-04-19 17:25:59,2020-04-19 17:25:59,21667900,1020
3851,en,2018-11-11 12:15:50,2018-11-11 12:15:50,21667900,1021
3857,en,2020-04-20 05:49:53,2020-04-20 05:49:53,21667900,1023
3861,en,2020-04-20 09:06:44,2020-04-20 09:06:44,21667900,1024
3926,en,2018-09-30 12:59:38,2018-09-30 12:59:38,21667900,1040
3960,en,2018-09-23 04:46:25,2018-09-23 04:46:25,21667900,1049
3961,en,2018-09-23 05:49:43,2018-09-23 05:49:43,21667900,1050
4002,en,2018-11-11 16:22:12,2018-11-11 16:22:12,21667900,1061
4045,en,2018-10-01 08:17:37,2018-10-01 08:17:37,21667900,1072
4093,en,2019-06-14 05:44:09,2019-06-14 05:44:09,21667900,1084
4109,en,2018-11-11 17:15:07,2018-11-11 17:15:07,21667900,1088
4215,en,2018-11-12 04:51:19,2018-11-12 04:51:19,21667900,1114
4317,en,2018-10-23 16:35:39,2018-10-23 16:35:39,21667900,1140
4321,en,2018-10-24 13:04:06,2018-10-24 13:04:06,21667900,1141
4333,en,2018-11-12 05:42:22,2018-11-12 05:42:22,21667900,1144
4358,en,2018-10-18 04:32:36,2018-10-18 04:32:36,21667900,1150
4435,en,2018-10-25 13:38:46,2018-10-25 13:38:46,21667900,1171
4437,en,2018-10-25 16:30:58,2018-10-25 16:30:58,21667900,1172
4453,en,2018-11-12 13:26:02,2018-11-12 13:26:02,21667900,1176
4459,en,2018-10-28 16:43:15,2018-10-28 16:43:15,21667900,1177
4479,en,2018-10-29 10:15:42,2018-10-29 10:15:42,21667900,1182
4481,en,2018-10-29 11:26:55,2018-10-29 11:26:55,21667900,1183
4498,en,2018-10-25 09:20:31,2018-10-25 09:20:31,21667900,1187
4536,en,2018-10-28 06:20:05,2018-10-28 06:20:05,21667900,1196
4544,en,2018-10-29 12:12:25,2018-10-29 12:12:25,21667900,1198
4552,en,2018-10-29 13:32:52,2018-10-29 13:32:52,21667900,1200
4582,en,2018-11-12 13:28:37,2018-11-12 13:28:37,21667900,1208
4602,en,2018-12-08 05:06:15,2018-12-08 05:06:15,21667900,1213
4651,en,2018-11-07 16:40:14,2018-11-07 16:40:14,21667900,1225
4653,en,2018-11-17 12:26:24,2018-11-17 12:26:24,21667900,1226
4671,en,2018-11-06 16:25:37,2018-11-06 16:25:37,21667900,1230
4681,en,2018-11-13 04:53:10,2018-11-13 04:53:10,21667900,1233
4753,en,2018-11-13 07:42:17,2018-11-13 07:42:17,21667900,1251
4785,en,2019-01-20 04:22:24,2019-01-20 04:22:24,21667900,1260
4837,en,2018-11-19 09:42:41,2018-11-19 09:42:41,21667900,1273
4873,en,2019-01-05 16:36:48,2019-01-05 16:36:48,21667900,1283
4916,en,2018-11-26 05:19:05,2018-11-26 05:19:05,21667900,1293
4977,en,2019-01-10 16:22:37,2019-01-10 16:22:37,21667900,1309
5014,en,2018-12-03 05:58:48,2018-12-03 05:58:48,21667900,1317
5028,en,2018-12-08 06:07:42,2018-12-08 06:07:42,21667900,1320
5139,en,2018-12-10 10:39:48,2018-12-10 10:39:48,21667900,1351
5299,en,2018-12-31 11:04:01,2018-12-31 11:04:01,21667900,1393
5318,en,2019-01-07 04:48:53,2019-01-07 04:48:53,21667900,1398
5379,en,2019-01-17 10:45:51,2019-01-17 10:45:51,21667900,1414
5748,en,2019-06-08 08:36:04,2019-06-08 08:36:04,21667900,1506
6334,en,2019-03-17 17:50:19,2019-03-17 17:50:19,21667900,1654
6453,en,2019-04-12 13:14:47,2019-04-12 13:14:47,21667900,1684
6535,en,2019-05-27 05:59:03,2019-05-27 05:59:03,21667900,1704
6661,en,2019-05-27 12:08:47,2019-05-27 12:08:47,21667900,1736
6794,en,2019-06-05 05:07:17,2019-06-05 05:07:17,21667900,1770
6838,en,2019-04-15 07:27:53,2019-04-15 07:27:53,21667900,1781
6844,en,2019-04-15 07:27:59,2019-04-15 07:27:59,21667900,1782
6845,en,2019-04-15 07:28:09,2019-04-15 07:28:09,21667900,1783
6851,en,2019-06-06 02:30:59,2019-06-06 02:30:59,21667900,1784
6899,en,2019-04-28 13:27:58,2019-04-28 13:27:58,21667900,1796
6901,en,2019-04-28 13:30:20,2019-04-28 13:30:20,21667900,1797
6951,en,2019-06-06 04:44:50,2019-06-06 04:44:50,21667900,1810
7005,en,2019-04-30 07:36:51,2019-04-30 07:36:51,21667900,1825
7018,en,2019-06-06 06:33:05,2019-06-06 06:33:05,21667900,1828
7086,en,2019-05-07 02:24:35,2019-05-07 02:24:35,21667900,1844
7216,en,2019-06-06 08:10:26,2019-06-06 08:10:26,21667900,1876
7226,en,2019-05-13 06:31:05,2019-05-13 06:31:05,21667900,1880
7299,en,2019-06-06 08:52:48,2019-06-06 08:52:48,21667900,1899
7303,en,2019-06-06 12:38:45,2019-06-06 12:38:45,21667900,1900
7315,en,2019-05-21 04:28:28,2019-05-21 04:28:28,21667900,1903
7319,en,2019-06-06 09:38:10,2019-06-06 09:38:10,21667900,1904
7359,en,2019-06-08 08:15:37,2019-06-08 08:15:37,21667900,1914
7387,en,2019-06-06 11:19:04,2019-06-06 11:19:04,21667900,1921
7389,en,2019-06-09 11:56:34,2019-06-09 11:56:34,21667900,1922
7408,en,2019-06-10 12:05:11,2019-06-10 12:05:11,21667900,1926
7460,en,2020-11-04 17:20:09,2020-11-04 17:20:09,21667900,1940
7461,en,2020-11-05 04:25:23,2020-11-05 04:25:23,21667900,1941
7468,en,2020-11-05 05:04:42,2020-11-05 05:04:42,21667900,1942
7484,en,2020-11-06 06:27:43,2020-11-06 06:27:43,21667900,1947
7522,en,2020-11-06 10:16:28,2020-11-06 10:16:28,21667900,1957
7607,en,2019-07-20 12:07:05,2019-07-20 12:07:05,21667900,1978
7693,en,2021-11-04 14:04:54,2021-11-04 14:04:54,21667900,2001
