id,vote_type,range_key,type,created_at,user_id,network_platform,episode_id,hash_key,series_name,season_number,episode_number
d7df4160-b7b3-4abb-a834-e5407d7dd8ae,how-did-you,21667900,selection,2021-02-20 06:40:38,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,6edd950b-bdd3-49a6-89ca-b4b50ff2272c,,,
edb03828-8a50-4051-a309-1d6b51a971ae,how-did-you,21667900,selection,2021-04-23 08:41:05,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,29f4e554-11c9-457a-8466-b2cd957d7e9a,,,
26210f41-8d30-4f34-bdbc-a5eb17c3380c,how-did-you,21667900,selection,2021-05-21 17:54:04,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,ca0ee7a8-152c-4947-b5f2-31ac7104a393,,,
f43f322f-97bd-40ed-a427-adf7a2810d1e,how-did-you,21667900,selection,2021-08-03 04:00:20,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,29713e1d-9313-49f1-abd8-6ba4443bc3f4,,,
70f25cef-c2f1-4d57-98e1-b5d0e6babc54,how-did-you,21667900,selection,2021-08-19 09:23:15,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,4144a76e-38a3-4554-8249-46178d60713a,,,
23a498b4-be60-4c90-81f4-2c967b49dd9d,how-did-you,21667900,selection,2021-10-01 18:20:50,21667900,,0,e5c578d0-d2c5-4f69-b45a-65198841c8ab,,,
907f8513-f706-4ded-9b93-a527f4b09aed,how-did-you,21667900,selection,2021-03-09 09:14:52,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,c8234090-bece-471c-8003-9b08923e08e8,,,
19ee4ef7-412b-4eb2-b83f-8a0fcd32ed72,how-did-you,21667900,selection,2021-11-21 11:20:46,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,bc8479c9-f32a-4626-a18e-034608700490,,,
f9737d3e-86e2-4eaf-9bfe-84c0e5c8e664,how-did-you,21667900,selection,2021-01-28 13:20:20,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,350d04dd-c315-4cbb-9ed3-177b2f4b2fc2,,,
f3ebb1ca-2e3d-4d86-8453-a4bcf741aa2f,how-did-you,21667900,selection,2021-03-27 11:38:16,21667900,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],0,bf18388a-73e7-4579-8568-a47cc1f3266e,,,
